index,theta_standard,theta_sigmoid,log_theta_standard,log_theta_sigmoid
0,1.0,1.0,0.0,0.0
1,0.8659643233600653,0.9999970608041394,-0.14391156831212787,-2.939200180029726e-06
2,0.7498942093324559,0.9999924162360706,-0.2878231366242556,-7.583792686280472e-06
3,0.6493816315762113,0.9999850768290351,-0.43173470493638355,-1.4923282316477043e-05
4,0.5623413251903491,0.9999734790513972,-0.5756462732485115,-2.652130028935721e-05
5,0.4869675251658631,0.9999551522920231,-0.7195578415606393,-4.484871366538238e-05
6,0.4216965034285822,0.9999261927300639,-0.8634694098727672,-7.380999382668746e-05
7,0.3651741272548377,0.9998804321998918,-1.007380978184895,-0.0001195749489075057
8,0.31622776601683794,0.9998081254822418,-1.1512925464970227,-0.00019189292802844506
9,0.27384196342643613,0.9996938776050099,-1.2952041148091507,-0.0003061692600149508
10,0.23713737056616552,0.9995133726954364,-1.4391156831212786,-0.00048674574605652213
11,0.2053525026457146,0.9992282152689512,-1.5830272514334063,-0.0007720827102113579
12,0.1778279410038923,0.9987778043422795,-1.7269388197455342,-0.0012229431479483476
13,0.1539926526059492,0.998066557613269,-1.8708503880576621,-0.001935313899159102
14,0.1333521432163324,0.9969438844523464,-2.01476195636979,-0.003060795005181233
15,0.11547819846894582,0.9951729407488761,-2.1586735246819178,-0.004838747128851766
16,0.1,0.9923822519237427,-2.3025850929940455,-0.007646911319027992
17,0.08659643233600653,0.9879917314539172,-2.4464966613061736,-0.012080950243057345
18,0.07498942093324558,0.9811018293091143,-2.5904082296183013,-0.019079023265438085
19,0.06493816315762113,0.970333096611395,-2.7343197979304295,-0.03011586786405383
20,0.05623413251903491,0.9536079687353115,-2.878231366242557,-0.04750262623017881
21,0.04869675251658631,0.9278884618114474,-3.022142934554685,-0.07484374543310192
22,0.042169650342858224,0.8889469032712854,-3.166054502866813,-0.1177177716059318
23,0.03651741272548377,0.8313919058862265,-3.3099660711789407,-0.18465398773393196
24,0.03162277660168379,0.7494301143493306,-3.4538776394910684,-0.2884422088164651
25,0.027384196342643614,0.6391145792318722,-3.597789207803196,-0.4476715304567364
26,0.023713737056616554,0.5025698762316038,-3.7417007761153243,-0.6880205915391384
27,0.02053525026457146,0.3527262432236915,-3.885612344427452,-1.042063037863168
28,0.01778279410038923,0.21325756571180168,-4.02952391273958,-1.5452546151069666
29,0.01539926526059492,0.1080422847603958,-4.173435481051708,-2.225232602924829
30,0.01333521432163324,0.0457740171692701,-4.3173470493638355,-3.084038659558235
31,0.011547819846894581,0.01689627685092114,-4.461258617675964,-4.080661986002972
32,0.01,0.005918463628544792,-4.605170185988091,-5.129678385973209
33,0.008659643233600654,0.0021846454863291742,-4.749081754300219,-6.1263017124179475
34,0.007498942093324558,0.0009255635441417115,-4.892993322612347,-6.985107769051354
35,0.006493816315762113,0.0004689165407390092,-5.036904890924475,-7.665085756869217
36,0.005623413251903491,0.0002835059821068717,-5.180816459236603,-8.168277334113014
37,0.004869675251658631,0.00019897730590186843,-5.324728027548731,-8.522319780437044
38,0.004216965034285823,0.00015646646665483084,-5.468639595860858,-8.762668841519446
39,0.003651741272548377,0.00013343472337887293,-5.612551164172986,-8.921898163159717
40,0.0031622776601683794,0.00012028021838077026,-5.756462732485114,-9.025686384242249
41,0.0027384196342643613,0.00011249265803391015,-5.9003743007972425,-9.09262260037025
42,0.0023713737056616554,0.00010777157397213184,-6.04428586910937,-9.13549662654308
43,0.002053525026457146,0.00010486489551112018,-6.188197437421498,-9.162837745746003
44,0.0017782794100389228,0.00010305739374367514,-6.332109005733626,-9.180224504112127
45,0.001539926526059492,0.00010192621908616695,-6.476020574045753,-9.191261348710745
46,0.001333521432163324,0.00010121542196799676,-6.619932142357881,-9.198259421733125
47,0.0011547819846894581,0.00010076762236139254,-6.76384371067001,-9.202693460657155
48,0.001,0.00010048504727705843,-6.907755278982137,-9.20550162484733
49,0.0008659643233600654,0.0001003065484021032,-7.051666847294265,-9.207279576971
50,0.0007498942093324559,0.00010019371878277895,-7.195578415606393,-9.208405058077023
51,0.0006493816315762113,0.00010012236912478499,-7.33948998391852,-9.209117428828234
52,0.0005623413251903491,0.00010007723808427903,-7.4834015522306485,-9.20956828926597
53,0.0004869675251658631,0.0001000486864225989,-7.627313120542777,-9.209853626230126
54,0.00042169650342858224,0.00010003062161346071,-7.771224688854904,-9.210034202716168
55,0.0003651741272548377,0.00010001919113406549,-7.915136257167032,-9.210148479048154
56,0.00031622776601683794,0.00010001195820982763,-8.05904782547916,-9.210220797027276
57,0.0002738419634264361,0.00010000738127178507,-8.202959393791287,-9.210266561982356
58,0.00023713737056616554,0.0001000044849719384,-8.346870962103415,-9.210295523262518
59,0.0002053525026457146,0.0001000026521651984,-8.490782530415544,-9.210313850675892
60,0.00017782794100389227,0.000100001492339367,-8.634694098727671,-9.210325448693865
61,0.0001539926526059492,0.00010000075838214443,-8.7786056670398,-9.210332788183495
62,0.0001333521432163324,0.00010000029392044995,-8.922517235351927,-9.210337432776003
63,0.00011547819846894582,0.0001,-9.066428803664055,-9.210340371976182
