k,k_over_kopt,score
0.06399999999999995,0.5,0.12470930814743042
0.06791836734693872,0.5306122448979592,0.12010636106133461
0.0718367346938775,0.5612244897959184,0.1165112279355526
0.07575510204081626,0.5918367346938775,0.11368559002876283
0.07967346938775503,0.6224489795918368,0.11018096804618835
0.08359183673469381,0.653061224489796,0.10817559137940407
0.08751020408163257,0.6836734693877551,0.10689391568303108
0.09142857142857135,0.7142857142857142,0.10548205748200416
0.09534693877551012,0.7448979591836734,0.10107232108712197
0.0992653061224489,0.7755102040816326,0.09972419813275338
0.10318367346938767,0.8061224489795918,0.09889826327562332
0.10710204081632643,0.836734693877551,0.09727708101272584
0.11102040816326521,0.8673469387755102,0.09546049237251282
0.11493877551020398,0.8979591836734694,0.0955859214067459
0.11885714285714274,0.9285714285714285,0.09208640158176422
0.12277551020408152,0.9591836734693877,0.09366231933236122
0.1266938775510203,0.9897959183673469,0.09379065409302711
0.13061224489795908,1.0204081632653061,0.09202847331762314
0.13453061224489785,1.0510204081632653,0.0937956653535366
0.1384489795918366,1.0816326530612244,0.09521849378943444
0.1423673469387754,1.1122448979591837,0.09800520390272141
0.14628571428571416,1.1428571428571428,0.09882645383477212
0.15020408163265292,1.173469387755102,0.10135215446352959
0.1541224489795917,1.2040816326530612,0.101337531208992
0.15804081632653047,1.2346938775510203,0.10560487508773804
0.16195918367346923,1.2653061224489794,0.10712577998638154
0.16587755102040802,1.2959183673469388,0.10995460003614425
0.16979591836734678,1.3265306122448979,0.11182231679558755
0.17371428571428554,1.357142857142857,0.11576437875628472
0.17763265306122433,1.3877551020408163,0.1162918359041214
0.1815510204081631,1.4183673469387754,0.11972824931144715
0.18546938775510186,1.4489795918367345,0.12290842533111573
0.18938775510204064,1.4795918367346939,0.1252310112118721
0.1933061224489794,1.510204081632653,0.12837429642677306
0.1972244897959182,1.5408163265306123,0.13272402733564376
0.20114285714285696,1.5714285714285714,0.1353643551468849
0.20506122448979575,1.6020408163265307,0.13770745694637299
0.2089795918367345,1.6326530612244896,0.14412823915481568
0.21289795918367327,1.6632653061224487,0.14749225378036498
0.21681632653061206,1.693877551020408,0.1518845058977604
0.22073469387755082,1.7244897959183672,0.15663694962859154
0.22465306122448958,1.7551020408163263,0.15904029086232185
0.22857142857142837,1.7857142857142856,0.16488521546125412
0.23248979591836713,1.8163265306122447,0.16951843723654747
0.2364081632653059,1.8469387755102038,0.1753125987946987
0.24032653061224468,1.8775510204081631,0.17969854101538657
0.24424489795918344,1.9081632653061222,0.184006679803133
0.24816326530612223,1.9387755102040816,0.18848041519522668
0.252081632653061,1.9693877551020407,0.19507598876953125
0.2559999999999998,2.0,0.20140179097652433
