model,bin,position_center,loss
Standard,1,128.5,3.906888008117676
Standard,2,384.5,3.798912763595581
Standard,3,640.5,3.3559107780456543
Standard,4,896.5,3.6522250175476074
Standard,5,1152.5,3.656914710998535
Standard,6,1408.5,3.269547462463379
Standard,7,1664.5,3.074551582336426
Standard,8,1920.5,2.788860321044922
Standard,9,2176.5,2.8565189838409424
Standard,10,2432.5,3.003683090209961
Standard,11,2688.5,3.284228801727295
Standard,12,2944.5,3.019563913345337
Standard,13,3200.5,3.393897294998169
Standard,14,3456.5,3.0815792083740234
Standard,15,3712.5,3.1654951572418213
Standard,16,3968.5,3.2460873126983643
Standard,17,4224.5,3.1205835342407227
Standard,18,4480.5,3.1493332386016846
Standard,19,4736.5,2.9092745780944824
Standard,20,4992.5,3.33096981048584
Standard,21,5248.5,3.021862506866455
Standard,22,5504.5,3.095618724822998
Standard,23,5760.5,3.1988368034362793
Standard,24,6016.5,3.4890050888061523
Standard,25,6272.5,3.118304491043091
Standard,26,6528.5,2.795036554336548
Standard,27,6784.5,3.1917238235473633
Standard,28,7040.5,3.3126540184020996
Standard,29,7296.5,3.278947353363037
Standard,30,7552.5,3.246634006500244
Standard,31,7808.5,3.6450185775756836
Standard,32,8064.5,3.500004768371582
Sigmoid,1,128.5,3.4913721084594727
Sigmoid,2,384.5,3.285491466522217
Sigmoid,3,640.5,3.42378306388855
Sigmoid,4,896.5,3.3773860931396484
Sigmoid,5,1152.5,3.2459559440612793
Sigmoid,6,1408.5,3.3261055946350098
Sigmoid,7,1664.5,3.351747512817383
Sigmoid,8,1920.5,3.1004178524017334
Sigmoid,9,2176.5,3.032151460647583
Sigmoid,10,2432.5,3.073472499847412
Sigmoid,11,2688.5,3.033750057220459
Sigmoid,12,2944.5,3.006460666656494
Sigmoid,13,3200.5,3.1111605167388916
Sigmoid,14,3456.5,3.1833865642547607
Sigmoid,15,3712.5,3.612581253051758
Sigmoid,16,3968.5,3.3483974933624268
Sigmoid,17,4224.5,3.233745574951172
Sigmoid,18,4480.5,3.1936490535736084
Sigmoid,19,4736.5,3.340686321258545
Sigmoid,20,4992.5,3.1825501918792725
Sigmoid,21,5248.5,3.0563602447509766
Sigmoid,22,5504.5,3.414046287536621
Sigmoid,23,5760.5,3.1867737770080566
Sigmoid,24,6016.5,3.0493435859680176
Sigmoid,25,6272.5,3.193794012069702
Sigmoid,26,6528.5,2.891176700592041
Sigmoid,27,6784.5,3.2130236625671387
Sigmoid,28,7040.5,3.383246660232544
Sigmoid,29,7296.5,3.375150442123413
Sigmoid,30,7552.5,3.142643451690674
Sigmoid,31,7808.5,3.65990948677063
Sigmoid,32,8064.5,3.4488260746002197
Anchored-20,1,128.5,4.6580095291137695
Anchored-20,2,384.5,4.331313133239746
Anchored-20,3,640.5,4.170503616333008
Anchored-20,4,896.5,4.18696403503418
Anchored-20,5,1152.5,4.874040126800537
Anchored-20,6,1408.5,4.8209943771362305
Anchored-20,7,1664.5,4.577483177185059
Anchored-20,8,1920.5,4.584539890289307
Anchored-20,9,2176.5,4.649286270141602
Anchored-20,10,2432.5,4.262718677520752
Anchored-20,11,2688.5,4.34744930267334
Anchored-20,12,2944.5,4.467589855194092
Anchored-20,13,3200.5,4.051840782165527
Anchored-20,14,3456.5,4.279569149017334
Anchored-20,15,3712.5,3.9426510334014893
Anchored-20,16,3968.5,3.8415191173553467
Anchored-20,17,4224.5,4.549060344696045
Anchored-20,18,4480.5,4.36417293548584
Anchored-20,19,4736.5,4.571416854858398
Anchored-20,20,4992.5,4.891659259796143
Anchored-20,21,5248.5,4.583230018615723
Anchored-20,22,5504.5,4.678832054138184
Anchored-20,23,5760.5,4.491507530212402
Anchored-20,24,6016.5,4.326550483703613
Anchored-20,25,6272.5,4.484540939331055
Anchored-20,26,6528.5,4.248744964599609
Anchored-20,27,6784.5,4.548344612121582
Anchored-20,28,7040.5,4.671202182769775
Anchored-20,29,7296.5,4.266907215118408
Anchored-20,30,7552.5,4.266484260559082
Anchored-20,31,7808.5,4.389893531799316
Anchored-20,32,8064.5,4.489263534545898
Anchored-alpha*,1,128.5,4.308772563934326
Anchored-alpha*,2,384.5,4.088589668273926
Anchored-alpha*,3,640.5,4.002009391784668
Anchored-alpha*,4,896.5,3.76046085357666
Anchored-alpha*,5,1152.5,3.881505250930786
Anchored-alpha*,6,1408.5,3.810427665710449
Anchored-alpha*,7,1664.5,4.199448585510254
Anchored-alpha*,8,1920.5,4.2476654052734375
Anchored-alpha*,9,2176.5,4.35621976852417
Anchored-alpha*,10,2432.5,4.220145225524902
Anchored-alpha*,11,2688.5,3.715730667114258
Anchored-alpha*,12,2944.5,3.9163026809692383
Anchored-alpha*,13,3200.5,3.8316259384155273
Anchored-alpha*,14,3456.5,4.1046366691589355
Anchored-alpha*,15,3712.5,3.4499168395996094
Anchored-alpha*,16,3968.5,3.470741033554077
Anchored-alpha*,17,4224.5,3.335597038269043
Anchored-alpha*,18,4480.5,3.335860013961792
Anchored-alpha*,19,4736.5,3.5505292415618896
Anchored-alpha*,20,4992.5,3.468736171722412
Anchored-alpha*,21,5248.5,3.7079734802246094
Anchored-alpha*,22,5504.5,3.527324676513672
Anchored-alpha*,23,5760.5,3.6993284225463867
Anchored-alpha*,24,6016.5,3.6510658264160156
Anchored-alpha*,25,6272.5,3.600531578063965
Anchored-alpha*,26,6528.5,3.498939037322998
Anchored-alpha*,27,6784.5,3.710968017578125
Anchored-alpha*,28,7040.5,3.7762746810913086
Anchored-alpha*,29,7296.5,3.5568687915802
Anchored-alpha*,30,7552.5,3.509115219116211
Anchored-alpha*,31,7808.5,3.3880763053894043
Anchored-alpha*,32,8064.5,3.5649056434631348
